P,Dylan Cease ,Lance Lynn ,Lucas Giolito ,Michael Kopech DD,Mike Clevinger 
RP,Kendall Graveman ,Reynaldo Lopez ,Aaron Bummer ,Jake Diekman ,Joe Kelly 
CL,Liam Hendriks ,- ,- ,- ,- 
C,Yasmani Grandal ,Seby Zavala DD,Carlos Perez ,Sebastian Rivero ,- 
1B,Andrew Vaughn ,Gavin Sheets ,Yasmani Grandal ,- ,- 
2B,Leury Garcia ,Romy Gonzalez ,Lenyn Sosa ,Andrew Vaughn ,Yoan Moncada 
3B,Yoan Moncada ,Leury Garcia ,Romy Gonzalez ,Andrew Vaughn ,- 
SS,Tim Anderson ,Leury Garcia ,Lenyn Sosa ,Romy Gonzalez ,- 
LF,Gavin Sheets ,Andrew Benintendi DD,Andrew Vaughn ,Eloy Jimenez ,Leury Garcia 
CF,Luis Robert DD,Leury Garcia ,Victor Reyes ,- ,- 
RF,Andrew Benintendi DD,Gavin Sheets ,Andrew Vaughn ,Eloy Jimenez ,Leury Garcia 
DH,Eloy Jimenez ,Gavin Sheets ,Andrew Vaughn ,Yasmani Grandal ,Luis Robert DD
