P,Kyle Freeland ,German Marquez ,Antonio Senzatela DD,Ryan Feltner ,Austin Gomber 
RP,Pierce Johnson ,Brent Suter ,Dinelson Lamet ,Jake Bird ,Justin Lawrence 
CL,Daniel Bard ,- ,- ,- ,- 
C,Elias Diaz ,Brian Serven ,- ,- ,- 
1B,C.J. Cron ,Michael Toglia ,Elehuris Montero ,Sean Bouchard ,Ryan McMahon 
2B,Brendan Rodgers ,Alan Trejo ,Ryan McMahon ,Ezequiel Tovar ,- 
3B,Ryan McMahon ,Elehuris Montero ,Alan Trejo ,Sean Bouchard ,Kris Bryant DD
SS,Ezequiel Tovar ,Alan Trejo ,Brendan Rodgers ,- ,- 
LF,Kris Bryant DD,Yonathan Daza ,Sean Bouchard ,Michael Toglia ,Randal Grichuk 
CF,Randal Grichuk ,Yonathan Daza ,Kris Bryant DD,- ,- 
RF,Michael Toglia ,Randal Grichuk ,Charlie Blackmon DD,Yonathan Daza ,Sean Bouchard 
DH,Charlie Blackmon DD,C.J. Cron ,Michael Toglia ,Elehuris Montero ,Kris Bryant DD
