P,Corbin Burnes ,Brandon Woodruff ,Freddy Peralta ,Eric Lauer ,Aaron Ashby 
RP,Matt Bush DD,Jake Cousins ,Hoby Milner ,Jandel Gustave DD,Peter Strzelecki 
CL,Devin Williams ,- ,- ,- ,- 
C,William Contreras ,Victor Caratini ,- ,- ,- 
1B,Rowdy Tellez ,Keston Hiura ,Mike Brosseau ,Owen Miller ,- 
2B,Owen Miller ,Brice Turang ,Abraham Toro ,Luis Urias ,Mike Brosseau 
3B,Luis Urias ,Mike Brosseau ,Abraham Toro ,- ,- 
SS,Willy Adames ,Luis Urias ,Mike Brosseau ,Brice Turang ,- 
LF,Christian Yelich ,Jesse Winker DD,Garrett Mitchell ,Tyrone Taylor ,Keston Hiura 
CF,Garrett Mitchell ,Tyrone Taylor ,- ,- ,- 
RF,Tyrone Taylor ,Jesse Winker DD,Garrett Mitchell ,Christian Yelich ,- 
DH,Jesse Winker DD,Keston Hiura ,William Contreras ,Owen Miller ,Christian Yelich 
