P,Gerrit Cole ,Carlos Rodon ,Nestor Cortes ,Luis Severino ,Frankie Montas 
RP,Lou Trivino ,Jonathan Loaisiga ,Tommy Kahnle ,Michael King DD,Wandy Peralta 
CL,Clay Holmes ,- ,- ,- ,- 
C,Jose Trevino ,Kyle Higashioka ,- ,- ,- 
1B,Anthony Rizzo ,DJ LeMahieu DD,- ,- ,- 
2B,Gleyber Torres ,DJ LeMahieu DD,Oswald Peraza ,Oswaldo Cabrera ,Wilmer Difo 
3B,DJ LeMahieu DD,Josh Donaldson ,Oswald Peraza ,Isiah Kiner-Falefa ,Oswaldo Cabrera 
SS,Oswald Peraza ,Isiah Kiner-Falefa ,Oswaldo Cabrera ,Gleyber Torres ,DJ LeMahieu DD
LF,Oswaldo Cabrera ,Giancarlo Stanton ,Aaron Hicks ,Harrison Bader ,- 
CF,Harrison Bader ,Aaron Hicks ,Aaron Judge ,Michael Hermosillo ,- 
RF,Aaron Judge ,Giancarlo Stanton ,Oswaldo Cabrera ,- ,- 
DH,Giancarlo Stanton ,Josh Donaldson ,Aaron Judge ,Gleyber Torres ,DJ LeMahieu DD
