P,Joe Musgrove ,Yu Darvish ,Blake Snell ,Nick Martinez ,Seth Lugo 
RP,Robert Suarez ,Luis Garcia ,Drew Pomeranz DD,Tim Hill ,Sean Poppen 
CL,Josh Hader ,- ,- ,- ,- 
C,Luis Campusano ,Austin Nola ,Pedro Severino ,- ,- 
1B,Jake Cronenworth ,Matt Carpenter ,Brandon Dixon ,Austin Nola ,- 
2B,Ha-Seong Kim ,Jake Cronenworth ,Austin Nola ,Matt Carpenter ,- 
3B,Manny Machado ,Ha-Seong Kim ,Jake Cronenworth ,Matt Carpenter ,Brandon Dixon 
SS,Xander Bogaerts ,Ha-Seong Kim ,Fernando Tatis Jr. ,Jake Cronenworth ,Manny Machado 
LF,Fernando Tatis Jr. ,Jose Azocar ,Brandon Dixon ,Jake Cronenworth ,Juan Soto 
CF,Trent Grisham ,Jose Azocar ,- ,- ,- 
RF,Juan Soto ,Jose Azocar ,Trent Grisham ,Brandon Dixon ,Fernando Tatis Jr. 
DH,Matt Carpenter ,Brandon Dixon ,Fernando Tatis Jr. ,Manny Machado ,Austin Nola 
