P,Luis Castillo ,Logan Gilbert ,George Kirby ,Robbie Ray ,Marco Gonzales 
RP,Diego Castillo ,Penn Murfee ,Trevor Gott ,Matthew Festa ,Gabe Speier 
CL,Paul Sewald DD,Andres Munoz ,- ,- ,- 
C,Cal Raleigh ,Tom Murphy DD,Cooper Hummel ,- ,- 
1B,Ty France ,Dylan Moore ,- ,- ,- 
2B,Kolten Wong ,Dylan Moore ,Sam Haggerty DD,Ty France ,- 
3B,Eugenio Suarez ,Ty France ,Dylan Moore ,- ,- 
SS,J.P. Crawford ,Dylan Moore ,Eugenio Suarez ,Sam Haggerty DD,- 
LF,Dylan Moore ,Cooper Hummel ,Sam Haggerty DD,Jarred Kelenic ,Teoscar Hernandez 
CF,Julio Rodriguez ,Jarred Kelenic ,Dylan Moore ,Taylor Trammell ,Teoscar Hernandez 
RF,Jarred Kelenic ,Teoscar Hernandez ,Cooper Hummel ,Sam Haggerty DD,Dylan Moore 
DH,Teoscar Hernandez ,Eugenio Suarez ,Ty France ,Cooper Hummel ,Tom Murphy DD
