P,Jack Flaherty ,Jordan Montgomery ,Adam Wainwright ,Miles Mikolas ,Steven Matz 
RP,Giovanny Gallegos ,Jordan Hicks ,Chris Stratton ,Packy Naughton ,Drew VerHagen 
CL,Ryan Helsley ,- ,- ,- ,- 
C,Willson Contreras ,Andrew Knizner ,- ,- ,- 
1B,Paul Goldschmidt ,Juan Yepez ,Brendan Donovan ,Alec Burleson ,- 
2B,Brendan Donovan ,Nolan Gorman ,Tommy Edman ,Paul DeJong ,Jose Fermin 
3B,Nolan Arenado ,Brendan Donovan ,Nolan Gorman ,Juan Yepez ,Tommy Edman 
SS,Tommy Edman ,Paul DeJong ,Brendan Donovan ,Nolan Gorman ,- 
LF,Tyler O'Neill ,Juan Yepez ,Alec Burleson ,Brendan Donovan ,Lars Nootbaar 
CF,Dylan Carlson ,Tyler O'Neill ,Lars Nootbaar ,Tommy Edman ,- 
RF,Lars Nootbaar ,Alec Burleson ,Brendan Donovan ,Dylan Carlson ,Juan Yepez 
DH,Juan Yepez ,Nolan Gorman ,Brendan Donovan ,Willson Contreras ,Paul Goldschmidt 
