P,Shane McClanahan ,Tyler Glasnow ,Jeffrey Springs ,Drew Rasmussen ,Zach Eflin 
RP,Jalen Beeks ,Colin Poche ,Shawn Armstrong ,Garrett Cleavinger ,Ryan Thompson 
CL,Pete Fairbanks ,Jason Adam ,- ,- ,- 
C,Christian Bethancourt ,Francisco Mejia ,Rene Pinto ,- ,- 
1B,Harold Ramirez ,Yandy Diaz ,Isaac Paredes ,Jonathan Aranda ,Christian Bethancourt 
2B,Brandon Lowe ,Isaac Paredes ,Taylor Walls ,Jonathan Aranda ,Vidal Brujan 
3B,Yandy Diaz ,Isaac Paredes ,Jonathan Aranda ,Taylor Walls ,Vidal Brujan 
SS,Wander Franco ,Taylor Walls ,Vidal Brujan ,- ,- 
LF,Randy Arozarena ,Manuel Margot ,Harold Ramirez ,Josh Lowe ,Luke Raley 
CF,Jose Siri ,Manuel Margot ,Josh Lowe ,Luke Raley ,Vidal Brujan 
RF,Manuel Margot ,Randy Arozarena ,Harold Ramirez ,Jose Siri ,Josh Lowe 
DH,Jonathan Aranda ,Randy Arozarena ,Brandon Lowe ,Harold Ramirez ,Yandy Diaz 
