P,Jacob deGrom ,Andrew Heaney ,Jon Gray ,Nathan Eovaldi ,Martin Perez 
RP,Jonathan Hernandez ,Joe Barlow ,Brock Burke ,John King ,Yerry Rodriguez 
CL,Jose Leclerc ,- ,- ,- ,- 
C,Jonah Heim ,Mitch Garver ,Sam Huff ,- ,- 
1B,Nathaniel Lowe ,Mark Mathias ,Josh Jung ,Sam Huff ,Brad Miller 
2B,Marcus Semien ,Mark Mathias ,Josh Smith ,Brad Miller ,- 
3B,Josh Jung ,Josh Smith ,Mark Mathias ,Nathaniel Lowe ,Brad Miller 
SS,Corey Seager ,Marcus Semien ,Josh Smith ,- ,- 
LF,Josh Smith ,Bubba Thompson ,Mark Mathias ,Adolis Garcia ,Leody Taveras 
CF,Leody Taveras ,Bubba Thompson ,Adolis Garcia ,- ,- 
RF,Bubba Thompson ,Adolis Garcia ,Mark Mathias ,Leody Taveras ,Brad Miller 
DH,Adolis Garcia ,Brad Miller ,Mark Mathias ,Mitch Garver ,Josh Jung 
