P,Kevin Gausman ,Alek Manoah ,Chris Bassitt ,Jose Berrios ,Yusei Kikuchi 
RP,Erik Swanson ,Anthony Bass ,Adam Cimber ,Tim Mayza ,Yimi Garcia 
CL,Jordan Romano ,- ,- ,- ,- 
C,Danny Jansen ,Alejandro Kirk ,Daulton Varsho ,- ,- 
1B,Vladimir Guerrero Jr. ,Cavan Biggio ,- ,- ,- 
2B,Whit Merrifield ,Santiago Espinal ,Cavan Biggio ,Otto Lopez ,Vinny Capra 
3B,Matt Chapman ,Santiago Espinal ,Cavan Biggio ,Vinny Capra ,Vladimir Guerrero Jr. 
SS,Bo Bichette ,Santiago Espinal ,Otto Lopez ,Vinny Capra ,- 
LF,Daulton Varsho ,Cavan Biggio ,Whit Merrifield ,Vinny Capra ,Otto Lopez 
CF,Kevin Kiermaier DD,George Springer ,Daulton Varsho ,Whit Merrifield ,Cavan Biggio 
RF,George Springer ,Daulton Varsho ,Whit Merrifield ,Vinny Capra ,Cavan Biggio 
DH,Alejandro Kirk ,George Springer ,Vladimir Guerrero Jr. ,Bo Bichette ,Daulton Varsho 
